Smp_000990-Smp_000980 Tm1G003291-Tm1G003292 HmN_000466100-HmN_000466000 maker-scaffold10x_1194_pilon-augustus-gene-0.9-maker-scaffold10x_1194_pilon-snap-gene-0.49 EmuJ_001048900-EmuJ_001049000
Smp_001040-Smp_001030 Tm1G003088-Tm1G003087 HmN_000073000-HmN_000072800 maker-scaffold10x_374_pilon-snap-gene-0.40-maker-scaffold10x_374_pilon-snap-gene-0.37 EmuJ_001025000-EmuJ_001024900
Smp_012380-Smp_128810 Tm1G002188-Tm1G002187 HmN_000891500-HmN_000895100 maker-scaffold10x_83_pilon-snap-gene-0.197-maker-scaffold10x_83_pilon-snap-gene-0.196 EmuJ_000822300-EmuJ_000822400
Smp_013930-Smp_316710 Tm1G002401-Tm1G002400 HmN_000928600-HmN_000928500 maker-scaffold10x_1723_pilon-snap-gene-0.50-maker-scaffold10x_1723_pilon-augustus-gene-0.71 EmuJ_000793100-EmuJ_000793210
Smp_018030-Smp_018020 Tm3G009086-Tm3G009087 HmN_000084900-HmN_000084800 maker-scaffold10x_712_pilon-snap-gene-0.15-maker-scaffold10x_712_pilon-snap-gene-0.16 EmuJ_000597900-EmuJ_000597800
Smp_019170-Smp_132690 Tm1G003761-Tm1G003760 HmN_003026900-HmN_003026890 maker-scaffold10x_436_pilon-snap-gene-0.23-maker-scaffold10x_436_pilon-snap-gene-0.34 EmuJ_000332200-EmuJ_000332300
Smp_022090-Smp_134090 Tm1G001538-Tm1G001537 HmN_003050660-HmN_003050670 maker-scaffold10x_1458_pilon-snap-gene-0.34-maker-scaffold10x_1458_pilon-snap-gene-0.35 EmuJ_000568600-EmuJ_000568700
Smp_033710-Smp_033700 Tm1G004760-Tm1G004759 HmN_000797000-HmN_000797100 maker-scaffold10x_729_pilon-snap-gene-0.9-maker-scaffold10x_729_pilon-snap-gene-0.2 EmuJ_000098400-EmuJ_000098600
Smp_034870-Smp_034860 Tm1G004128-Tm1G004129 HmN_000166300-HmN_000166400 maker-scaffold10x_303_pilon-snap-gene-0.33-maker-scaffold10x_303_pilon-snap-gene-0.28 EmuJ_000240100-EmuJ_000240200
Smp_042740-Smp_145310 Tm1G001867-Tm1G001866 HmN_000410300-HmN_000410400 maker-scaffold10x_209_pilon-snap-gene-0.28-maker-scaffold10x_209_pilon-augustus-gene-0.71 EmuJ_000868800-EmuJ_000868900
Smp_043970-Smp_303950 Tm3G008820-Tm3G008821 HmN_000047800-HmN_003040800 maker-scaffold10x_469_pilon-snap-gene-0.92-augustus_masked-scaffold10x_469_pilon-processed-gene-0.37 EmuJ_000631900-EmuJ_000631800
Smp_049380-Smp_049390 Tm1G004072-Tm1G004071 HmN_000207900-HmN_000208100 maker-scaffold10x_436_pilon-augustus-gene-0.13-maker-scaffold10x_436_pilon-augustus-gene-0.5 EmuJ_000233300-EmuJ_000233100
Smp_050470-Smp_149160 Tm1G001313-Tm1G001314 HmN_000746200-HmN_000746300 maker-scaffold10x_313_pilon-snap-gene-0.94-maker-scaffold10x_313_pilon-snap-gene-0.77 EmuJ_001180500-EmuJ_001180400
Smp_050730-Smp_050740 Tm1G001170-Tm1G001171 HmN_003003890-HmN_003003900 maker-scaffold10x_293_pilon-augustus-gene-0.22-maker-scaffold10x_293_pilon-snap-gene-0.137 EmuJ_001198850-EmuJ_001198800
Smp_052390-Smp_150220 Tm1G003349-Tm1G003348 HmN_000673500-HmN_000673400 maker-scaffold10x_226_pilon-snap-gene-0.92-maker-scaffold10x_226_pilon-snap-gene-0.81 EmuJ_001056000-EmuJ_001055900
Smp_056200-Smp_152230 Tm4G009937-Tm4G009938 HmN_000088600-HmN_000088500 maker-scaffold10x_702_pilon-snap-gene-0.28-maker-scaffold10x_702_pilon-snap-gene-0.27 EmuJ_000537000-EmuJ_000537050
Smp_060900-Smp_154850 Tm1G002368-Tm1G002365 HmN_003008500-HmN_000431000 maker-scaffold10x_295_pilon-snap-gene-0.78-maker-scaffold10x_295_pilon-snap-gene-0.71 EmuJ_000797200-EmuJ_000797600
Smp_063250-Smp_063260 Tm1G003575-Tm1G003576 HmN_000463000-HmN_000463100 maker-scaffold10x_280_pilon-snap-gene-0.121-maker-scaffold10x_280_pilon-snap-gene-0.138 EmuJ_000727400-EmuJ_000727500
